Brand,Sub Brand AS,Brand Group AS,SPGR,NART,Active NART,Description,Product Type,SPGR Status,NART Status,Barcode (Pieces),Barcode (Shrink),Barcode (Carton),Shelf Life (days),PTT per Pieces,Last Price Update,Pieces per Shrink,Pieces per Carton,Shrink per Carton,Length (Pieces),Width (Pieces),Height (Pieces),Length (Shrink),Width (Shrink),Height (Shrink),Length (Carton),Width (Carton),Height (Carton),Gross Weight per Pieces,Gross Weight per Shrink,Gross Weight per Carton,Volume per Pieces,Volume per Shrink,Volume per Carton,Product Name (TRAX),Product EAN Code (TRAX),HS Code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansaplast,Wound,Wound Plasters,HP 2637,02637-09000-06,02637-09000-06,Hansaplast Kain Elastis 100 Lembar Standar 2637,Regular,Active,Active,8999777026370,,8999777011536,1080," 25,454 ",4/1/2024,0,100,0,9.30 cm,3.80 cm,14.00 cm,0.00 cm,0.00 cm,0.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.00 Kg,9.05 Kg,494.8 Cm³,,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,02637-09000-05,02637-09000-06,Hansaplast Kain Elastis 100 Lembar Standar 2637,Regular,Active,Inactive,8999777026370,,8999777011536,1080," 25,454 ",4/1/2024,0,100,0,9.30 cm,3.80 cm,14.00 cm,0.00 cm,0.00 cm,0.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.00 Kg,9.05 Kg,494.8 Cm³,,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,02637-09000-04,02637-09000-06,HP Scare Kain Elastis 100's Std 2637,Regular,Active,Inactive,8999777026370,,8999777011536,1080," 25,454 ",4/1/2024,0,100,0,9.30 cm,3.80 cm,14.00 cm,0.00 cm,0.00 cm,0.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.00 Kg,9.05 Kg,494.8 Cm³,,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,02637-09000-03,02637-09000-06,HP Scare Kain Elastis 100's Std 2637,Regular,Active,Inactive,,,,1080," 25,454 ",4/1/2024,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.08 Kg,9.05 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,02637-09000-02,02637-09000-06,HP Scare Kain Elastis 100's Std 2637 (evolution),Regular,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 25,454 ",4/1/2024,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.08 Kg,9.05 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,02637-09000-01,02637-09000-06,HP Scare Kain Elastis 100's Std 2637,Regular,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 17,500 ",12/31/2017,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.08 Kg,9.05 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,02637-09000-00,02637-09000-06,HP Scare Kain Elastis 100's Std 2637,Regular,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 17,500 ",12/31/2017,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.08 Kg,9.05 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48333-00001-00,02637-09000-06,HP Silvercare Kain Elastis 100's Std 26,Regular,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 17,500 ",12/31/2017,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.08 Kg,9.05 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID 2637,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48333-00060-03,02637-09000-06,HP Scare Kain Elastis 100's Std 2637 Extra 10's,Promo,Active,Active,8999777026370,,8999777011536,1080," 25,454 ",4/1/2024,0,100,0,9.30 cm,3.80 cm,14.00 cm,0.00 cm,0.00 cm,0.00 cm,48.90 cm,29.20 cm,40.50 cm,0.09 Kg,0.00 Kg,9.19 Kg,494.8 Cm³,,0.058 M³,HP 2637 FAB 100 PLUS 10,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48333-00060-02,02637-09000-06,HP Scare Kain Elastis 100's Std 2637 Extra 10's,Promo,Active,Active,8999777026370,,8999777011536,1080," 25,454 ",4/1/2024,0,100,0,9.30 cm,3.80 cm,14.00 cm,0.00 cm,0.00 cm,0.00 cm,48.90 cm,29.20 cm,40.50 cm,0.09 Kg,0.00 Kg,9.19 Kg,494.8 Cm³,,0.058 M³,HP 2637 FAB 100 PLUS 10,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48330-00203-00,02637-09000-06,HP Scare Kain Elastis 100's + Kupon Gosok,Promo,Active,Inactive,8999777026370,,8999777017033,1080," 25,454 ",4/1/2024,0,100,0,9.30 cm,3.80 cm,14.00 cm,0.00 cm,0.00 cm,0.00 cm,48.90 cm,29.20 cm,40.50 cm,0.08 Kg,0.00 Kg,9.05 Kg,494.8 Cm³,,0.058 M³,HP_2637_SCRATCH_&_WIN,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48333-00060-00,02637-09000-06,HP Scare Kain Elastis 100's Std 2637 Extra 10's,Promo,Active,Inactive,8999777026370,,8999777011536,1080," 25,454 ",4/1/2024,0,100,0,9.30 cm,3.80 cm,14.00 cm,0.00 cm,0.00 cm,0.00 cm,48.90 cm,29.20 cm,40.50 cm,0.09 Kg,0.00 Kg,9.19 Kg,494.8 Cm³,,0.058 M³,HP 2637 FAB 100 PLUS 10,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48330-00002-03,02637-09000-06,HP Scare Kain Elastis 100's Std 2637 Extra 10's (evolution),Promo,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 20,228 ",12/31/2019,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.09 Kg,0.09 Kg,9.24 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID EXTRA 10'S,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48330-00001-03,02637-09000-06,HP Fab Str Swp 65X19 100 ID Extra 10's,Promo,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 17,500 ",12/31/2017,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.09 Kg,0.09 Kg,9.24 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID EXTRA 10'S,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48330-00000-47,02637-09000-06,HP Fab Str Swp 65X19 100 ID Extra 10's,Promo,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 17,500 ",12/31/2017,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.09 Kg,0.09 Kg,9.24 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID EXTRA 10'S,02637,3005.90.90
Hansaplast,Wound,Wound Plasters,HP 2637,48330-00000-20,02637-09000-06,HP Fab Str Swp 65X19 100 Id Promo Pen,Promo,Active,Inactive,8999777026370,08999777002411,18999777026377,1080," 17,500 ",12/31/2017,1,100,100,9.30 cm,3.80 cm,14.00 cm,9.30 cm,3.80 cm,14.00 cm,48.90 cm,29.20 cm,40.50 cm,0.09 Kg,0.09 Kg,9.24 Kg,494.8 Cm³,494.8 Cm³,0.058 M³,HP FAB STR HL 65X19 100 ID EXTRA 10'S,02637,3005.90.90
